Time, DR, DN, RN, Euclidian
5.320, 1.38, 0.871, 1.259, 2.061
5.330, 1.341, 0.905, 1.209, 2.019
5.340, 1.395, 0.88, 1.217, 2.049
5.350, 1.417, 0.885, 1.315, 2.126
5.360, 1.413, 0.838, 1.255, 2.067
5.370, 1.389, 0.924, 1.245, 2.081
5.380, 1.421, 0.876, 1.241, 2.080
5.390, 1.499, 0.876, 1.279, 2.156
5.400, 1.38, 0.908, 1.236, 2.063
5.410, 1.387, 0.858, 1.208, 2.029
5.420, 1.36, 0.863, 1.206, 2.012
5.430, 1.368, 0.869, 1.188, 2.009
5.440, 1.379, 0.891, 1.248, 2.062
5.450, 1.472, 0.875, 1.286, 2.141
5.460, 1.375, 0.87, 1.213, 2.029
5.470, 1.379, 0.889, 1.21, 2.038
5.480, 1.38, 0.913, 1.246, 2.071
5.490, 1.404, 0.895, 1.323, 2.126
5.500, 1.379, 0.903, 1.215, 2.047
5.510, 1.425, 0.941, 1.297, 2.144
5.520, 1.403, 0.913, 1.287, 2.111
5.530, 1.396, 0.94, 1.27, 2.108
5.540, 1.339, 0.977, 1.318, 2.117
5.550, 1.357, 0.963, 1.35, 2.142
5.560, 1.349, 0.977, 1.378, 2.161
5.570, 1.394, 0.947, 1.332, 2.148
5.580, 1.284, 0.975, 1.31, 2.077
5.590, 1.354, 0.983, 1.322, 2.132
5.600, 1.413, 0.955, 1.343, 2.170
5.610, 1.391, 0.967, 1.266, 2.114
5.620, 1.375, 1.0, 1.295, 2.137
5.630, 1.468, 0.997, 1.319, 2.211
5.640, 1.461, 0.959, 1.388, 2.231
5.650, 1.4, 0.964, 1.314, 2.148
5.660, 1.391, 0.961, 1.225, 2.087
5.670, 1.333, 0.954, 1.264, 2.069
5.680, 1.316, 0.983, 1.27, 2.076
5.690, 1.361, 0.927, 1.254, 2.069
5.700, 1.265, 1.001, 1.254, 2.043
5.710, 1.326, 0.931, 1.305, 2.080
5.720, 1.409, 0.919, 1.241, 2.090
5.730, 1.385, 0.96, 1.288, 2.121
5.740, 1.378, 0.925, 1.244, 2.074
5.750, 1.384, 0.988, 1.325, 2.155
5.760, 1.444, 0.947, 1.387, 2.214
5.770, 1.386, 0.975, 1.322, 2.149
